章节,唐三藏,孙悟空,猪八戒,沙僧,白龙马,如来佛祖,弥勒佛,燃灯古佛,观音菩萨,陈光蕊,殷温娇,唐太宗,魏征,叔宝,敬德,法明和尚,刘洪,李彪,文殊菩萨,普贤菩萨,地藏王菩萨,谛听,菩提祖师,阿难,伽叶,灵吉菩萨,毗蓝婆菩萨,孔雀明王,玉皇大帝,王母娘娘,天皇大帝,紫微大帝,长生大帝,青华大帝,东华帝君,真武大帝,元始天尊,灵宝天尊,太上老君,千里眼,顺风耳,雷公,电母,风伯,雨师,赤脚大罗仙,推云童子,布雾郎君,太白金星,木德星君,嫦娥,李靖,金吒,木吒,哪吒,巨灵神,东方持国天王,南方增长天王,西方广目天王,北方多闻天王,杨戬,哮天犬,敖广,敖钦,敖闰,敖顺,秦广王,泾河龙王,崔玨,阎罗王,混世魔王,寅将军,熊山军,特处士,黑风怪,白衣秀士,凌虚子,黄风怪,镇元大仙,清风,明月,白骨精,黄袍怪,金角大王,银角大王,狮猁怪,红孩儿,鼍龙,虎力大仙,鹿力大仙,羊力大仙,灵感大王,独角兕大王,如意真仙,女儿国国王,蝎子精,六耳猕猴,牛魔王,铁扇公主,万圣龙王,万圣公主,树精,黄眉大王,蟒蛇精,赛太岁,蜘蛛精,百眼魔君,黄牙老象,大鹏金翅鸟,白鹿精,白面狐狸精,地涌夫人,灭法国国王,南山大王,九灵元圣,辟寒大王,辟暑大王,辟尘大王,玉兔精,大白龟
第二十八回,1084,1613,377,105,28,63,0,1,430,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,36,0,0,0,0,0,0,3,1,42,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,31,4,0,4,0,8,5,3,18,35,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二十九回,1124,1613,421,130,28,63,0,1,434,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,36,0,0,0,0,0,0,3,1,42,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,35,4,0,4,0,8,5,3,18,36,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十回,1174,1643,469,146,33,63,0,1,434,69,6,216,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,99,36,0,0,0,0,0,0,3,1,42,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,35,4,0,4,0,8,5,3,18,36,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十一回,1216,1755,519,170,37,63,0,1,436,69,6,217,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,108,36,0,0,0,0,0,0,3,1,44,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,35,4,0,4,0,8,5,3,18,36,31,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十二回,1254,1830,593,178,39,63,0,1,436,69,6,217,42,9,10,8,26,6,0,0,2,0,72,0,0,6,0,0,109,36,0,0,0,0,0,0,3,1,44,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,28,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,35,4,0,4,0,8,5,3,18,36,31,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十三回,1327,1933,608,193,41,63,0,1,438,69,6,217,42,9,10,8,26,6,0,0,2,0,73,0,0,6,0,0,115,36,0,0,0,0,0,0,3,1,48,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,34,12,0,4,2,0,47,0,7,6,12,4,5,5,0,2,35,4,0,4,0,8,5,3,18,36,31,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十四回,1342,2041,637,200,43,63,0,1,439,69,6,217,42,9,10,8,26,6,0,0,2,0,73,0,0,6,0,0,115,36,0,0,0,0,0,0,3,1,50,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,34,12,0,4,2,0,48,0,7,6,12,4,5,5,0,2,36,4,0,4,0,8,5,3,18,36,31,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十五回,1362,2113,664,209,43,63,0,1,441,69,6,217,42,9,10,8,26,6,0,0,2,0,73,0,0,6,0,0,115,36,0,0,0,0,0,0,3,1,59,2,2,12,1,1,0,1,1,0,41,3,3,33,0,66,34,12,0,4,2,0,48,0,7,6,12,4,5,5,0,2,36,4,0,4,0,8,5,3,18,36,31,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十六回,1435,2159,675,214,44,64,1,2,444,69,6,219,42,9,10,8,26,6,0,0,2,0,73,0,0,6,0,0,115,36,0,0,0,0,0,0,3,1,60,2,2,13,1,1,0,1,1,0,41,3,3,33,0,66,34,12,0,4,2,0,48,0,7,6,12,4,5,5,0,2,36,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三十七回,1512,2208,681,216,45,64,1,2,444,69,6,219,42,9,10,8,26,6,0,0,2,0,73,0,0,6,0,0,115,36,0,0,0,0,0,0,3,1,60,2,2,13,1,1,0,1,1,0,41,3,3,33,0,66,34,12,0,4,2,0,48,0,7,6,12,4,5,5,0,2,36,4,0,4,0,8,5,3,18,37,33,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
