章节,唐三藏,孙悟空,猪八戒,沙僧,白龙马,如来佛祖,弥勒佛,燃灯古佛,观音菩萨,陈光蕊,殷温娇,唐太宗,魏征,叔宝,敬德,法明和尚,刘洪,李彪,文殊菩萨,普贤菩萨,地藏王菩萨,谛听,菩提祖师,阿难,伽叶,灵吉菩萨,毗蓝婆菩萨,孔雀明王,玉皇大帝,王母娘娘,天皇大帝,紫微大帝,长生大帝,青华大帝,东华帝君,真武大帝,元始天尊,灵宝天尊,太上老君,千里眼,顺风耳,雷公,电母,风伯,雨师,赤脚大罗仙,推云童子,布雾郎君,太白金星,木德星君,嫦娥,李靖,金吒,木吒,哪吒,巨灵神,东方持国天王,南方增长天王,西方广目天王,北方多闻天王,杨戬,哮天犬,敖广,敖钦,敖闰,敖顺,秦广王,泾河龙王,崔玨,阎罗王,混世魔王,寅将军,熊山军,特处士,黑风怪,白衣秀士,凌虚子,黄风怪,镇元大仙,清风,明月,白骨精,黄袍怪,金角大王,银角大王,狮猁怪,红孩儿,鼍龙,虎力大仙,鹿力大仙,羊力大仙,灵感大王,独角兕大王,如意真仙,女儿国国王,蝎子精,六耳猕猴,牛魔王,铁扇公主,万圣龙王,万圣公主,树精,黄眉大王,蟒蛇精,赛太岁,蜘蛛精,百眼魔君,黄牙老象,大鹏金翅鸟,白鹿精,白面狐狸精,地涌夫人,灭法国国王,南山大王,九灵元圣,辟寒大王,辟暑大王,辟尘大王,玉兔精,大白龟
第九十一回,3801,6162,2282,889,99,186,15,16,883,69,6,248,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,183,49,0,0,0,0,2,0,6,1,125,2,2,62,6,4,0,1,13,4,86,3,7,72,1,97,73,15,0,5,5,1,54,0,16,9,16,18,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,3,3,4,0,0
第九十二回,3843,6246,2309,907,99,186,15,16,883,69,6,248,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,192,49,0,0,0,0,2,0,6,1,125,2,2,62,6,4,0,1,13,4,93,3,7,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十三回,3930,6289,2336,920,100,186,15,16,884,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,192,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,7,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十四回,3955,6319,2361,931,100,186,15,16,887,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,9,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,42,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十五回,3983,6382,2371,934,100,186,15,16,887,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十六回,4026,6396,2391,941,100,187,15,16,890,69,6,249,43,9,10,8,26,6,2,0,3,5,79,0,0,9,1,0,193,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十七回,4074,6461,2410,956,103,188,15,16,896,69,6,249,43,9,10,8,26,6,2,0,5,5,79,0,0,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,45,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十八回,4147,6499,2427,968,103,208,15,17,907,69,6,252,43,9,10,8,26,6,2,0,5,5,79,0,9,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,144,4,0,4,0,8,5,6,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第九十九回,4188,6521,2445,981,106,211,15,17,919,69,6,253,43,9,10,8,26,6,2,0,5,5,79,0,9,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,16,19,6,7,1,3,145,4,0,4,0,8,5,7,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
第一百回,4221,6540,2462,993,109,216,16,18,948,69,6,281,43,9,10,8,26,6,3,1,5,5,79,0,10,9,1,0,195,49,0,0,0,0,2,0,6,1,125,2,2,63,6,4,0,1,13,4,93,3,13,72,1,97,73,15,0,6,5,1,54,0,16,9,17,19,6,7,1,3,145,4,0,4,0,8,5,7,18,46,37,3,5,2,2,0,14,6,13,9,7,4,1,5,0,4,5,41,6,4,1,1,2,0,11,7,1,2,0,0,0,1,0,3,7,5,4,6,0,0
